species	family	pmid	compound	compound_id	gene	gene_id	disease	disease_id	np_gene_rel	gene_disease_rel
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	CTNNB1	1499	Colorectal Neoplasms	D015179	NA	Association
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	CTNNB1	1499	Carcinogenesis	D063646	NA	Association
Abelmoschus Esculentus	Malvaceae	38887049	NA	NA	CYP19A1	1588	Breast Neoplasms	D001943	NA	Association
Abelmoschus Esculentus	Malvaceae	38887049	NA	NA	ESR1	2099	Breast Neoplasms	D001943	NA	Association
Abelmoschus Esculentus	Malvaceae	31768613	NA	NA	BABA		Stomach Neoplasms	D013274	NA	Association
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	APC	324	Colorectal Neoplasms	D015179	NA	Association
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	APC	324	Carcinogenesis	D063646	NA	Association
Abelmoschus Esculentus	Malvaceae	34264183	NA	NA	GSTP1	2950	Carcinoma, Hepatocellular	D006528	NA	Association
Abelmoschus Manihot	Malvaceae	39289944	NA	NA	TGFB1	7040	Colorectal Neoplasms	D015179	NA	Association
Abelmoschus Manihot	Malvaceae	39289944	NA	NA	STAT3	6774	Colorectal Neoplasms	D015179	NA	Association
Abrus Precatorius	Fabaceae	25000506	NA	NA	IFNG	15978	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	31715238	NA	NA	NFE2L2	4780	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	31715238	NA	NA	NFE2L2	4780	Mouth Neoplasms	D009062	NA	Association
Abrus Precatorius	Fabaceae	24793310	NA	NA	MKI67	17345	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	24793310	NA	NA	ANXA5	308	Carcinoma, Hepatocellular	D006528	NA	Association
Abrus Precatorius	Fabaceae	25000506	NA	NA	TNF	21926	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	26914517	NA	NA	AKT1	207	Breast Neoplasms	D001943	NA	Association
Abrus Precatorius	Fabaceae	26914517	NA	NA	AKT1	207	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	35715430	NA	NA	ERBB2	2064	NA	NA	NA	NA
Abrus Precatorius	Fabaceae	24793310	NA	NA	PECAM1	5175	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	26914517	NA	NA	PECAM1	5175	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	35715430	NA	NA	NR3C1	2908	NA	NA	NA	NA
Abrus Precatorius	Fabaceae	31715238	NA	NA	NUP62	23636	Neoplasms	D009369	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	CTNNB1	84353	Colorectal Neoplasms	D015179	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	WNT2	114487	Colorectal Neoplasms	D015179	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	TCF4	84382	Colorectal Neoplasms	D015179	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	CAT	24248	NA	NA	NA	NA
Acacia Concinna	Fabaceae	39519596	NA	NA	PIK3CD	5293	Neoplasms	D009369	NA	Association
Acacia Concinna	Fabaceae	39519596	NA	NA	AKT1	207	Neoplasms	D009369	NA	Association
Acacia Concinna	Fabaceae	39519596	NA	NA	CTNNB1	1499	Neoplasms	D009369	NA	Association
Acacia Farnesiana	Fabaceae	32223728	diosmetin	C039602	TP53	7157	Carcinoma, Renal Cell	D002292	INHIBITOR	Association
Acacia Farnesiana	Fabaceae	32223728	diosmetin	C039602	AKT1	207	Carcinoma, Renal Cell	D002292	INHIBITOR	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	STAT4	6775	Pancreatic Neoplasms	D010190	NA	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	PIK3CD	5293	Pancreatic Neoplasms	D010190	NA	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	RAB11FIP3	9727	Pancreatic Neoplasms	D010190	NA	Association
